NOME_ORIGINAL,NOME_PADRONIZADO
1º DE MAIO FUTEBOL CLUBE,1º DE MAIO FUTEBOL CLUBE
31 DE MARÇO,31 DE MARÇO
A . A. B. B. SAO PAULO,A . A. B. B. SAO PAULO
A . A. B. B. SÃO PAULO,A . A. B. B. SAO PAULO
A .R.C.E DE ASSIST.  DOS EMPR. DO GRUPO PÃO DE AÇÚCAR,A .R.C.E DE ASSIST. DOS EMPR. DO GRUPO PÃO DE AÇÚCAR
A .R.C.E DE ASSIST. DOS EMPR. DO GRUPO PÃO DE AÇÚCAR,A .R.C.E DE ASSIST. DOS EMPR. DO GRUPO PÃO DE AÇÚCAR
A BRASILEIRA HEBRAICA DE SP GINÁSIO,A BRASILEIRA HEBRAICA DE SP GINÁSIO
A BRASILEIRA HEBRAICA DE SP-GINASIO,A BRASILEIRA HEBRAICA DE SP GINÁSIO
A BRASILEIRA HEBRAICA DE SP-GINÁSIO,A BRASILEIRA HEBRAICA DE SP GINÁSIO
A. A. GOODYEAR,A. A. GOODYEAR
A. D. C. ELETROPAULO DE S?O PAULO,A. D. C. ELETROPAULO DE SÃO PAULO
A. D. C. ELETROPAULO DE SAO PAULO,A. D. C. ELETROPAULO DE SÃO PAULO
A. D. C. ELETROPAULO DE SÃO PAULO,A. D. C. ELETROPAULO DE SÃO PAULO
A. D. P. M. SAO PAULO,A. D. P. M. SÃO PAULO
A. D. P. M. SÃO PAULO,A. D. P. M. SÃO PAULO
A8 SHOTTING CLUB DE TIRO DO BRASIL EIREL,A8 SHOTTING CLUB DE TIRO DO BRASIL EIREL
AÃA? CLUBE,AÃA CLUBE
ABAM,ABAM
ABELINO SOARES ANDRADE,ABELINO SOARES ANDRADE
ACAI CLUBE,AÇAÍ CLUBE
AÇAÍ CLUBE,AÇAÍ CLUBE
ACRE CLUBE,ACRE CLUBE
ADMARDO ARMOUND,ADMARDO ARMOUND
AGUIA DE OURO,AGUIA DE OURO
Allianz Arena (Arena Palmeiras),ALLIANZ ARENA (ARENA PALMEIRAS)
ALTO DOS PINHEIROS TAEKWONDO CLUBE,ALTO DOS PINHEIROS TAEKWONDO CLUBE
ALVI VERDE FUTEBOL CLUBE,ALVI VERDE FUTEBOL CLUBE
ALVI-VERDE FUTEBOL CLUBE,ALVI VERDE FUTEBOL CLUBE
ALVORADA,ALVORADA
ALVORADA CONJUNTO PADRE MANOEL DA NOBREGA,ALVORADA CONJUNTO PADRE MANOEL DA NOBREGA
AMIGOS DA NOVE DE JULHO,AMIGOS DA NOVE DE JULHO
ANGELO ROSSELI,ANGELO ROSSELI
ANHEMBI TENIS CLUBE,ANHEMBI TÊNIS CLUBE
ANHEMBI TÊNIS CLUBE,ANHEMBI TÊNIS CLUBE
ANTONIO EVARISTO COSTA,ANTONIO EVARISTO COSTA
ANTONIO RODRIGUES FILHO,ANTONIO RODRIGUES FILHO
ARAUJO,ARAUJO
AREIÃO VL CARMOSINA,AREIÃO VL CARMOSINA
AREIÃO VL CISPER,AREIÃO VL CISPER
"ARENA ALLIANZ PARQUE
(SOCIEDADE ESPORTIVA PALMEIRAS)","ARENA ALLIANZ PARQUE
(SOCIEDADE ESPORTIVA PALMEIRAS)"
ARENA BATTI FÁCIL (CAMPO DO  NITERÓI),ARENA BATTI FÁCIL (CAMPO DO  NITERÓI)
Arena Corinthians,Arena Corinthians
"ARENA PALMEIRINHA 
(CAMPO DO PALMEIRINHA)","ARENA PALMEIRINHA 
(CAMPO DO PALMEIRINHA)"
ARENA RADICAL,ARENA RADICAL
ARLINDO DE OLIVEIRA MIRAGAIA,ARLINDO DE OLIVEIRA MIRAGAIA
ASSOC PORT DE DESPORTOS ESTÁDIO,ASSOC PORT DE DESPORTOS ESTÁDIO
ASSOC PORT DE DESPORTOS-ESTADIO,ASSOC PORT DE DESPORTOS ESTÁDIO
ASSOC PORT DE DESPORTOS-ESTÁDIO,ASSOC PORT DE DESPORTOS ESTÁDIO
ASSOC. PAULISTANA DE BRIDGE,ASSOC. PAULISTANA DE BRIDGE
ASSOC.CULTURAL E ESPORTIVA PIRATININGA,ASSOC.CULTURAL E ESPORTIVA PIRATININGA
ASSOCIAÇÃO ATLÉTICA ATLAS,ASSOCIAÇÃO ATLÉTICA ATLAS
ASSOCIAÇÃO ATLÉTICA BANCO DO BRASIL SÃO PAULO,ASSOCIAÇÃO ATLÉTICA BANCO DO BRASIL SÃO PAULO
ASSOCIAÇÃO ATLÉTICA GOODYEAR,ASSOCIAÇÃO ATLÉTICA GOODYEAR
ASSOCIAÇÃO ATLÉTICA SÃO PAULO,ASSOCIAÇÃO ATLÉTICA SÃO PAULO
ASSOCIAÇÃO ATLÉTICA TITAN,ASSOCIAÇÃO ATLÉTICA TITAN
"ASSOCIAÇÃO BRASILEIRA ""A HEBRAICA"" DE SÃO PAULO","ASSOCIAÇÃO BRASILEIRA ""A HEBRAICA"" DE SÃO PAULO"
ASSOCIAÇÃO CAMPESTRE DE SÃO PAULO,ASSOCIAÇÃO CAMPESTRE DE SÃO PAULO
ASSOCIAÇÃO CULTURAL RECREATIVA E ESPORTIVA CARRÃO,ASSOCIAÇÃO CULTURAL RECREATIVA E ESPORTIVA CARRÃO
ASSOCIAÇÃO CULTURAL RECREATIVA ESPORTIVA  VALE DO PARAIBA,ASSOCIAÇÃO CULTURAL RECREATIVA ESPORTIVA  VALE DO PARAIBA
ASSOCIAÇÃO DE CLUBES ESPORTIVOS E SÓCIO-CULTURAIS DE SÃO PAULO,ASSOCIAÇÃO DE CLUBES ESPORTIVOS E SÓCIO-CULTURAIS DE SÃO PAULO
ASSOCIAÇÃO DE JUDÔ SHOORIKAN NITSUMA E ANDRADE,ASSOCIAÇÃO DE JUDÔ SHOORIKAN NITSUMA E ANDRADE
ASSOCIAÇÃO DESPORTIVA CLASSISTA BUNGE,ASSOCIAÇÃO DESPORTIVA CLASSISTA BUNGE
